X_Coordinate,Y_Coordinate,Z_Coordinate,Failure_Probability,CI_Lower,CI_Upper,Node_ID
3.948152e+03,1.367922e+03,-3.047214e+03,8.560453e-03,7.248548e-03,9.872358e-03,1
3.800000e+03,1.430859e+03,-3.051063e+03,7.645618e-03,6.344596e-03,8.946639e-03,2
3.800000e+03,1.200000e+03,-3.049015e+03,8.193740e-03,6.886327e-03,9.501153e-03,3
3.948144e+03,1.367924e+03,-3.033762e+03,9.662644e-03,8.335518e-03,1.098977e-02,4
3.800000e+03,1.430855e+03,-3.037680e+03,7.290684e-03,5.993519e-03,8.587850e-03,5
3.800000e+03,1.200000e+03,-3.035812e+03,8.573989e-03,7.261913e-03,9.886065e-03,6
4.030740e+03,1.200000e+03,-3.030385e+03,9.395456e-03,8.072211e-03,1.071870e-02,7
4.030742e+03,1.200000e+03,-3.043763e+03,9.228771e-03,7.907809e-03,1.054973e-02,8
3.948136e+03,1.367926e+03,-3.020310e+03,1.041099e-02,9.071645e-03,1.175033e-02,9
3.800000e+03,1.430850e+03,-3.024296e+03,7.695342e-03,6.393727e-03,8.996956e-03,10
3.800000e+03,1.200000e+03,-3.022610e+03,9.126067e-03,7.806673e-03,1.044546e-02,11
4.030738e+03,1.200000e+03,-3.017007e+03,9.292611e-03,7.970941e-03,1.061428e-02,12
3.966594e+03,1.546782e+03,-3.048468e+03,8.504741e-03,7.193549e-03,9.815934e-03,13
3.800000e+03,1.661719e+03,-3.053170e+03,7.544910e-03,6.245001e-03,8.844818e-03,14
3.966577e+03,1.546791e+03,-3.034867e+03,9.351291e-03,8.028806e-03,1.067378e-02,15
3.800000e+03,1.661711e+03,-3.039655e+03,6.788294e-03,5.496318e-03,8.080269e-03,16
4.150066e+03,1.410368e+03,-3.029555e+03,8.748220e-03,7.433882e-03,1.006256e-02,17
4.150071e+03,1.410372e+03,-3.043214e+03,8.992178e-03,7.674567e-03,1.030979e-02,18
4.261526e+03,1.200000e+03,-3.041599e+03,9.024164e-03,7.706086e-03,1.034224e-02,19
4.261523e+03,1.200000e+03,-3.027993e+03,8.661080e-03,7.347856e-03,9.974303e-03,20
