fixed_dim,fixed_value,target_mass,axis1,axis2,axis3,mu_mix_1,mu_mix_2,mu_mix_3,geo_1,geo_2,geo_3,mass_1,mass_2,mass_3
1,-0.58 ,0.9,U_2,U_3,U_4,-1.89 ,-1.37 ,-0.73 ,-1.89 ,-1.37 ,-0.75 ,-1.89 ,-1.38 ,-0.73 
1,0.08 ,0.9,U_2,U_3,U_4,-1.89 ,-1.37 ,-0.75 ,-1.85 ,-1.39 ,-0.83 ,-1.89 ,-1.37 ,-0.73 
1,0.71 ,0.9,U_2,U_3,U_4,-1.86 ,-1.39 ,-0.78 ,-1.80 ,-1.41 ,-0.91 ,-1.87 ,-1.39 ,-0.75 
2,-2.35 ,0.9,U_1,U_3,U_4,0.07 ,-0.90 ,-0.38 ,-0.03 ,-0.88 ,-0.38 ,0.09 ,-0.90 ,-0.37 
2,-1.86 ,0.9,U_1,U_3,U_4,0.09 ,-1.40 ,-0.73 ,0.04 ,-1.33 ,-0.83 ,0.11 ,-1.41 ,-0.70 
2,-1.38 ,0.9,U_1,U_3,U_4,0.07 ,-1.88 ,-1.13 ,0.11 ,-1.82 ,-1.23 ,0.07 ,-1.89 ,-1.12 
3,-1.98 ,0.9,U_1,U_2,U_4,0.09 ,-1.49 ,-0.74 ,0.16 ,-1.43 ,-0.87 ,0.09 ,-1.50 ,-0.71 
3,-1.35 ,0.9,U_1,U_2,U_4,0.11 ,-1.84 ,-0.85 ,0.13 ,-1.76 ,-1.03 ,0.11 ,-1.85 ,-0.82 
3,-0.72 ,0.9,U_1,U_2,U_4,0.06 ,-2.26 ,-0.86 ,-0.03 ,-2.18 ,-1.04 ,0.07 ,-2.27 ,-0.83 
4,-1.36 ,0.9,U_1,U_2,U_3,0.11 ,-1.72 ,-1.27 ,0.14 ,-1.76 ,-1.23 ,0.11 ,-1.71 ,-1.28 
4,-0.68 ,0.9,U_1,U_2,U_3,0.12 ,-1.92 ,-1.36 ,0.06 ,-1.91 ,-1.39 ,0.13 ,-1.92 ,-1.36 
4,-0.07 ,0.9,U_1,U_2,U_3,0.06 ,-2.06 ,-1.49 ,-0.03 ,-2.02 ,-1.55 ,0.07 ,-2.06 ,-1.48 
